Summary;Issue Type;Priority;Description
[DEV_IOS][Dependency on Rudie] Change Nitrate (soil Nmin) to Soil Nmin and Nitrate (water) to Nitrate;Story;Medium;"Update the wording of how we describe nitrate parameters. 

This is based on feedback from users (farmers specifically), that soil nmin is seen as something separate from Nitrate. 

Therefore 'Nitrate' will become two separate parameters; Nitrate (Soil Nmin) isn't actually measuring Nitrate in Soil. It is it's own thing so should actually just be called 'Soil Nmin'. This would then mean Nitrate (water) is just 'Nitrate'. 

See checklist for the screens affected"
;;;
;;;
;;;
;;;
;;;
;;;
;;;
[DEV_IOS] Local measurements are not updated after a group is deleted by an admin in another device;Bug;Low;"*Tested on:* iOS 17.2.1; Model: Iphone SE; app version 5.2 (269) 
*Server:* Test 
*Logged in:* Yes & No 

*Rep. steps.* 
* Create a group at a device making yourself the owner 
* Add another user to that group 
* Using that other user and at a different device add a measurement to that group  
* Using the original device and account, delete that group. 
* *The member of the group with the measurement can still see the local measurement as part of the group that was deleted until the local measurements list gets updated* 

*Expected* 
* Create a group at a device making yourself the owner 
* Add another user to that group 
* Using that other user and at a different device add a measurement to that group  
* Using the original device and account, delete that group. 
* *The member of the group with the measurement should immediately see that the local measurement is now private*"
[DEV_IOS] Change 'submit' text in soil Nmin instructions (all languages);Bug;Low;"*iPhone SE (2022), version 192* 

*Current (FRENCH)* 

Step 11 of soil Nmin instructions says 'sur ""submit"" pour le...', however the button on measurement details page shows ""Soumettre"" 

*Desired (FRENCH)* 

Text in instructions should say 'sur ""soumettre"" pour le...' 

  

*Current (DANISH)* 

Step 11 of soil Nmin instructions says 'tryk pa ""submit"" for at...', however the button on measurement details page shows ""Indsend"" 

*Desired (DANISH)* 

Text in instructions should say 'sur ""indsend"" pour le...' 

 "
[DEV_IOS] Update button design;Story;Low;"*Tested on:* Android 14; Model: Google Pixel 6; app version 5.0.0 (12188); server: test 

Several buttons are missing a border:  
# Measurement details after creating a measurement - *Cancel button* (screenshot 1) {color:#ff8b00}Charlie to add figma {color} 
# Clicking cancel on measurement details screen after creating a measurement  - *Notification has iOS design rather than Aquality*  (screenshot 2) ** {color:#ff8b00}Charlie to add figma {color}"
[DEV_iOS] MAP - Refactor MapViewFilterViewController;Story;Low;"----------------------
Description:
----------------------
A short description of what the story is and what is new etc...

What screens are impacted: * 

---------------------------
AC/Scope
---------------------------

——————————————
Keys/Strings/translations
----------------------------

||Key||EN||NL||FR||DA||
||||||


----------------------------
Test Plan
----------------------------
Tested on: Device, OS version, app version
Server: Test/Prod
Languages: EN, DK, FR, NL
Logged in: Yes/No
Pre-reqs: Set language to; user has not previously checked ""don't show this again” on the Tutorial Page, Have submitted measurements on home screen
Test cases
Screen:"
[DEV_iOS] MAP - MapViewController to Swift;Story;Low;"We like to refactor the MapViewController to a Swift version. 

*AC:* 
* Restructure the Map folder 
* Create a date picker component 
* Show a map with measurements as annotation with different colors 
* Show current user location 
* Make sure the map can show different map types 
* Make sure the filter works 
* Make sure move to current location works 
* Make sure the map is showing according to the user settings 
* Show no internet connection popup 

*Out of scope:* 
* New design 
* Custom Annotation (other story) 
* Filter view (other story)"
[DEV_iOS] MAP - CustomAnnotation to Swift;Story;Low;"The custom annotation is respsobile for how the measurement is displayed on the map.  

The custom annotation should show in a different color per measurement type and measurement value. 

In this story we like to refactor the following components: 
* 
** CustomAnnotation.h/.m to Swift 
** CustomAnnotationView.h/.m to Swift 
** CustomMKPointAnnotatoin.h/.m Swift 
**  "
[DEV_IOS] User stuck with loading icon when editing right after turning on internet;Bug;Lowest;"Right after turning on internet it is possible to edit a measurement. If the user edits within 30 seconds of turning on the internet, the user gets stuck with a loading icon. It should not be possible to edit a measurement within the first 30 seconds of turning internet on.  

*Reproduction steps:*  
# Turn off internet 
# Open app 
# Tap on a submitted measurement on home screen 
# Turn on internet 

*Current* 
* User is able to tap on edit on measurement details screen within 30 seconds from turning on internet 
* Able to edit a field  
* Tap on submit 
* A loading icon appears and doesn't disappear  

*Expected* 
* User should not be able to tap on edit on measurement details screen within 30 seconds from turning on internet  

 "
;;;
